index,	 stop time ,	 position ,	 velocity 
  0,	 9.0000,	 1.0000,	 1.0000 
  1,	 9.0000,	 1.0000,	 1.0000 
  2,	 9.0000,	 1.0000,	 1.0000 
  3,	 9.0000,	 1.0000,	 1.0000 
  4,	 9.0000,	 1.0000,	 1.0000 
  5,	 9.0000,	 1.0000,	 1.0000 
  6,	 9.0000,	 1.0000,	 1.0000 
  7,	 9.0000,	 1.0000,	 1.0000 
  8,	 9.0000,	 1.0000,	 1.0000 
  9,	 9.0000,	 1.0000,	 1.0000 
 10,	 9.0000,	 1.0000,	 1.0000 
 11,	 9.0000,	 1.0000,	 1.0000 
 12,	 9.0000,	 1.0000,	 1.0000 
 13,	 9.0000,	 1.0000,	 1.0000 
 14,	 9.0000,	 1.0000,	 1.0000 
 15,	 9.0000,	 1.0000,	 1.0000 
 16,	 9.0000,	 1.0000,	 1.0000 
 17,	 9.0000,	 1.0000,	 1.0000 
 18,	 9.0000,	 1.0000,	 1.0000 
 19,	 9.0000,	 1.0000,	 1.0000 
 20,	 9.0000,	 1.0000,	 1.0000 
 21,	 9.0000,	 1.0000,	 1.0000 
 22,	 9.0000,	 1.0000,	 1.0000 
 23,	 9.0000,	 1.0000,	 1.0000 
 24,	 9.0000,	 1.0000,	 1.0000 
 25,	 9.0000,	 1.0000,	 1.0000 
 26,	 9.0000,	 1.0000,	 1.0000 
 27,	 9.0000,	 1.0000,	 1.0000 
 28,	 9.0000,	 1.0000,	 1.0000 
 29,	 9.0000,	 1.0000,	 1.0000 
 30,	 9.0000,	 1.0000,	 1.0000 
 31,	 9.0000,	 1.0000,	 1.0000 
 32,	 9.0000,	 1.0000,	 1.0000 
 33,	 9.0000,	 1.0000,	 1.0000 
 34,	 9.0000,	 1.0000,	 1.0000 
 35,	 9.0000,	 1.0000,	 1.0000 
 36,	 9.0000,	 1.0000,	 1.0000 
 37,	 9.0000,	 1.0000,	 1.0000 
 38,	 9.0000,	 1.0000,	 1.0000 
 39,	 9.0000,	 1.0000,	 1.0000 
 40,	 9.0000,	 1.0000,	 1.0000 
 41,	 9.0000,	 1.0000,	 1.0000 
 42,	 9.0000,	 1.0000,	 1.0000 
 43,	 9.0000,	 1.0000,	 1.0000 
 44,	 9.0000,	 1.0000,	 1.0000 
 45,	 9.0000,	 1.0000,	 1.0000 
 46,	 9.0000,	 1.0000,	 1.0000 
 47,	 9.0000,	 1.0000,	 1.0000 
 48,	 9.0000,	 1.0000,	 1.0000 
 49,	 9.0000,	 1.0000,	 1.0000 
 50,	 9.0000,	 1.0000,	 1.0000 
 51,	 9.0000,	 1.0000,	 1.0000 
 52,	 9.0000,	 1.0000,	 1.0000 
 53,	 9.0000,	 1.0000,	 1.0000 
 54,	 9.0000,	 1.0000,	 1.0000 
 55,	 9.0000,	 1.0000,	 1.0000 
 56,	 9.0000,	 1.0000,	 1.0000 
 57,	 9.0000,	 1.0000,	 1.0000 
 58,	 9.0000,	 1.0000,	 1.0000 
 59,	 9.0000,	 1.0000,	 1.0000 
 60,	 9.0000,	 1.0000,	 1.0000 
 61,	 9.0000,	 1.0000,	 1.0000 
 62,	 9.0000,	 1.0000,	 1.0000 
 63,	 9.0000,	 1.0000,	 1.0000 
 64,	 9.0000,	 1.0000,	 1.0000 
 65,	 9.0000,	 1.0000,	 1.0000 
 66,	 9.0000,	 1.0000,	 1.0000 
 67,	 9.0000,	 1.0000,	 1.0000 
 68,	 9.0000,	 1.0000,	 1.0000 
 69,	 9.0000,	 1.0000,	 1.0000 
 70,	 9.0000,	 1.0000,	 1.0000 
 71,	 9.0000,	 1.0000,	 1.0000 
 72,	 9.0000,	 1.0000,	 1.0000 
 73,	 9.0000,	 1.0000,	 1.0000 
 74,	 9.0000,	 1.0000,	 1.0000 
 75,	 9.0000,	 1.0000,	 1.0000 
 76,	 9.0000,	 1.0000,	 1.0000 
 77,	 9.0000,	 1.0000,	 1.0000 
 78,	 9.0000,	 1.0000,	 1.0000 
 79,	 9.0000,	 1.0000,	 1.0000 
 80,	 9.0000,	 1.0000,	 1.0000 
 81,	 9.0000,	 1.0000,	 1.0000 
 82,	 9.0000,	 1.0000,	 1.0000 
 83,	 9.0000,	 1.0000,	 1.0000 
 84,	 9.0000,	 1.0000,	 1.0000 
 85,	 9.0000,	 1.0000,	 1.0000 
 86,	 9.0000,	 1.0000,	 1.0000 
 87,	 9.0000,	 1.0000,	 1.0000 
 88,	 9.0000,	 1.0000,	 1.0000 
 89,	 9.0000,	 1.0000,	 1.0000 
 90,	 9.0000,	 1.0000,	 1.0000 
 91,	 9.0000,	 1.0000,	 1.0000 
 92,	 9.0000,	 1.0000,	 1.0000 
 93,	 9.0000,	 1.0000,	 1.0000 
 94,	 9.0000,	 1.0000,	 1.0000 
 95,	 9.0000,	 1.0000,	 1.0000 
 96,	 9.0000,	 1.0000,	 1.0000 
 97,	 9.0000,	 1.0000,	 1.0000 
 98,	 9.0000,	 1.0000,	 1.0000 
 99,	 9.0000,	 1.0000,	 1.0000 
