index,	 stop time ,	 position ,	 velocity 
  0,	 0.3000,	-0.0008,	-0.0196 
  1,	 0.3000,	-0.0017,	-0.0183 
  2,	 44.2000,	 5.0165,	 0.3405 
  3,	 0.2000,	-0.0005,	-0.0049 
  4,	 0.2000,	-0.0020,	-0.0279 
  5,	 0.3000,	-0.0012,	-0.0416 
  6,	 1.2000,	-0.0004,	-0.0435 
  7,	 34.6000,	-0.0280,	-0.2873 
  8,	 0.2000,	-0.0003,	-0.0092 
  9,	 0.1000,	-0.0012,	-0.0123 
 10,	 0.7000,	-0.0026,	-0.0555 
 11,	 0.1000,	-0.0019,	-0.0186 
 12,	 2.4000,	-0.0070,	-0.0728 
 13,	 0.1000,	-0.0011,	-0.0109 
 14,	 1.7000,	-0.0003,	-0.0613 
 15,	 20.1000,	 5.0087,	 0.1114 
 16,	 0.1000,	-0.0010,	-0.0097 
 17,	 0.5000,	-0.0029,	-0.0454 
 18,	 0.1000,	-0.0008,	-0.0083 
 19,	 0.1000,	-0.0004,	-0.0038 
 20,	 4.2000,	-0.0077,	-0.0973 
 21,	 0.1000,	-0.0034,	-0.0339 
 22,	 0.1000,	-0.0008,	-0.0080 
 23,	 32.2000,	-0.0032,	-0.2319 
 24,	 0.1000,	-0.0015,	-0.0151 
 25,	 1.9000,	-0.0024,	-0.0383 
 26,	 70.0000,	-0.0269,	-0.2719 
 27,	 0.1000,	-0.0017,	-0.0168 
 28,	 0.2000,	-0.0022,	-0.0256 
 29,	 3.3000,	-0.0108,	-0.1300 
 30,	 0.1000,	-0.0032,	-0.0323 
 31,	 0.1000,	-0.0017,	-0.0170 
 32,	 0.4000,	-0.0017,	-0.0176 
 33,	 0.1000,	-0.0035,	-0.0349 
 34,	 1.0000,	-0.0004,	-0.0477 
 35,	 0.2000,	-0.0026,	-0.0276 
 36,	 0.1000,	-0.0009,	-0.0090 
 37,	 1.3000,	-0.0014,	-0.0467 
 38,	 0.1000,	-0.0012,	-0.0118 
 39,	 35.2000,	-0.0198,	-0.3496 
 40,	 0.1000,	-0.0026,	-0.0260 
 41,	 44.2000,	-0.0111,	-0.1696 
 42,	 21.5000,	 5.0353,	 0.4566 
 43,	 16.6000,	-0.0166,	-0.2182 
 44,	 0.8000,	-0.0042,	-0.0666 
 45,	 0.1000,	-0.0021,	-0.0209 
 46,	 37.0000,	-0.0265,	-0.2910 
 47,	 1.4000,	-0.0057,	-0.0917 
 48,	 1.1000,	-0.0028,	-0.0553 
 49,	 1.0000,	-0.0018,	-0.0316 
 50,	 0.2000,	-0.0005,	-0.0213 
 51,	 0.1000,	-0.0003,	-0.0032 
 52,	 0.1000,	-0.0013,	-0.0134 
 53,	 0.6000,	-0.0032,	-0.0370 
 54,	 1.1000,	-0.0041,	-0.0433 
 55,	 4.3000,	-0.0013,	-0.1369 
 56,	 0.1000,	-0.0022,	-0.0222 
 57,	 0.1000,	-0.0063,	-0.0627 
 58,	 10.1000,	-0.0092,	-0.2187 
 59,	 0.1000,	-0.0028,	-0.0278 
 60,	 18.7000,	-0.0125,	-0.1611 
 61,	 0.1000,	-0.0008,	-0.0082 
 62,	 0.1000,	-0.0025,	-0.0254 
 63,	 0.2000,	-0.0021,	-0.0210 
 64,	 0.1000,	-0.0023,	-0.0230 
 65,	 17.0000,	-0.0045,	-0.0835 
 66,	 0.2000,	-0.0012,	-0.0126 
 67,	 0.8000,	-0.0054,	-0.0593 
 68,	 0.8000,	-0.0017,	-0.0474 
 69,	 37.9000,	 5.0108,	 0.1758 
 70,	 0.1000,	-0.0019,	-0.0187 
 71,	 0.1000,	-0.0019,	-0.0185 
 72,	 0.1000,	-0.0008,	-0.0082 
 73,	 24.0000,	-0.0326,	-0.3893 
 74,	 0.1000,	-0.0014,	-0.0139 
 75,	 0.3000,	-0.0001,	-0.0242 
 76,	 0.1000,	-0.0013,	-0.0125 
 77,	 0.9000,	-0.0028,	-0.0640 
 78,	 0.1000,	-0.0049,	-0.0495 
 79,	 0.7000,	-0.0027,	-0.0379 
 80,	 8.4000,	-0.0183,	-0.2277 
 81,	 0.1000,	-0.0012,	-0.0115 
 82,	 3.5000,	-0.0057,	-0.1083 
 83,	 0.1000,	-0.0038,	-0.0382 
 84,	 8.8000,	-0.0030,	-0.1978 
 85,	 0.1000,	-0.0025,	-0.0252 
 86,	 0.1000,	-0.0009,	-0.0086 
 87,	 0.1000,	-0.0002,	-0.0020 
 88,	 0.2000,	-0.0011,	-0.0164 
 89,	 0.1000,	-0.0007,	-0.0066 
 90,	 0.1000,	-0.0029,	-0.0291 
 91,	 74.2000,	 5.0026,	 0.4091 
 92,	 0.1000,	-0.0023,	-0.0229 
 93,	 44.4000,	-0.0073,	-0.1631 
 94,	 0.1000,	-0.0010,	-0.0099 
 95,	 0.1000,	-0.0054,	-0.0542 
 96,	 0.1000,	-0.0071,	-0.0707 
 97,	 0.9000,	-0.0076,	-0.0779 
 98,	 79.4000,	 5.0029,	 0.1661 
 99,	 0.1000,	-0.0014,	-0.0144 
index,	 stop time ,	 position ,	 velocity 
  0,	 4.0000,	-0.0034,	-0.8317 
